order,question,category
115,Рисует или срисовывает две пересекающиеся линии (+).,FI
116,Складывает картинки из девяти или более кусков в играх - разрезных картинках.,FI
117,"Подбирает мелкие предметы, например, кусочки печенья, двумя пальцами - большим и еще каким-нибудь.",FI
118,"Рисует  полные  фигурки  людей,  включающие  по  крайней  мере  голову  с глазами-носом-ртом,",FI
119,"Держит мелок несколькими пальцами, примерно как взрослый.",FI
120,Перекладывает предметы из одной руки в другую.,FI
121,Чертит каракули мелком или карандашом.,FI
122,Разрезает ножницами бумагу от одного края до другого.,FI
123,Рисует узнаваемые картинки.,FI
124,Рисует или срисовывает полный круг.,FI
125,Пытается резать или режет маленькими ножницами.,FI
126,Рисует или срисовывает квадрат с четырьмя хорошими углами.,FI
127,Режет ножницами по простому контуру или фигуре.,FI
128,Строит башни из пяти или более кубиков.,FI
129,Перелистывает по одной страницы детской книжки.,FI
130,"Рисует фигурки людей, состоящие по крайней мере из трех частей, таких как голова, глаза, нос, рот,",FI
131,Строит башни из восьми или более кубиков.,FI
132,"Использует одну руку больше, чем другую; отдает предпочтение определенной руке.",FI
133,"Делает постройки из кубиков, такие как простой дом, мост или машина.",FI
134,"Раскрашивает фигуры в книжке-раскраске, придерживаясь контуров.",FI
135,Чертит каракули круговым движением.,FI
136,Отвинчивает и завинчивает крышки банок и бутылок.,FI
137,Рисует или срисовывает вертикальные (  ) или горизонтальные (  ) линии.,FI
138,Кладет на место отдельные куски (простые формы или фигуры) в складной картинке.,FI
139,Подбирает две маленькие игрушки одной рукой.,FI
140,"Рисует и пишет (печатными буквами) в продуманном порядке, с толком.",FI
141,"Называет Вас “мама” или “папа”, или как-нибудь в этом роде.",EX
142,"Использует отрицание “не” в выражениях “не надо”, “не могу”, “не буду” и т.п.",EX
143,"Говорит не менее двух слов, помимо “мама” и “папа”.",EX
144,Употребляет не менее 10 слов.,EX
145,"“Разговаривает”; произносит звуки, как будто говорит предложениями.",EX
146,"Говорит о вещах, которые “могли бы” произойти, например, “Он бы ушибся, если бы упал”",EX
147,"Рассказывает, какое действие изображено на картинке, например, “Кошка ест”.",EX
148,"Задает вопросы, начинающиеся со слов “что” или “где”.",EX
149,Употребляет по крайней мере пять разных слов (не обязательно похожих на “взрослые”) для обозначения,EX
150,"Употребляет по крайней мере одно из следующих слов: “я”, “ты”, “он”, “она”, “оно”, “мне”, “меня”.",EX
151,"Задает вопросы, начинающиеся со слов “почему”, “когда” или “как”.",EX
152,"Употребляет длинные, сложные предложения, длиной до десяти или более слов.",EX
153,"Подробно говорит о том, что произошло, описывая последовательность событий (“Мы пошли туда-то, и",EX
154,"Говорит о своих вещах “мой”, или “моя”, или “мое”.",EX
155,Указывает на предметы.,EX
156,"Употребляет слова во множественном числе, прибавляя окончание “и” или “ы”, например, “собаки”,",EX
157,"Просит “еще”, “еще один”.",EX
158,Просит еду или питье при помощи слов или звуков.,EX
159,Употребляет предложения из двух-трех или более слов.,EX
160,Называет несколько знакомых предметов в книжках с картинками.,EX
161,"Соединяет два предложения союзами “или”, “но”.",EX
162,Называет дни недели в правильном порядке.,LA
163,"Правильно использует слова “сегодня”, “вчера” и “завтра”.",EX
164,Правильно отвечает “да” или “нет” на простые вопросы.,EX
165,"Употребляет слова, оканчивающиеся на -ущий, -ющий, -ейший, -айший, например, “большущий”,",EX
166,"Подражает некоторым звукам, которые Вы произносите.",EX
167,Отвечает на вопросы типа “Как говорит ...собачка? ...киска? ...уточка?”,EX
168,"Машет рукой “пока-пока”, “до свиданья”.",EX
169,"Говорит о своих чувствах,  например:  “мне весело”,  “мне грустно”,  “мне плохо”, “я сержусь” и т.п.",EX
170,"Употребляет существительные не только в именительном падеже (например, говорит не только “рука”, но",EX
171,"Употребляет глаголы в прошедшем времени, например, “Мячик упал”.",EX
172,"Употребляет глаголы в будущем времени, например, “нарисую”, “буду рисовать”.",EX
173,"Соединяет два предложения союзами “и”, “а”.",EX
174,"Употребляет прилагательные или наречия в сравнительной степени, например, “больше”, “меньше”,",EX
175,"Правильно образует сравнительную степень прилагательных: “хороший”-“лучше”, а не “хорошее”,",EX
176,"Употребляет слова, выражающие степень уверенности, такие как “может быть”, “пожалуй”, “наверное”,",EX
177,"Если предмет не нравится, говорит о нем “плохой”, “кака” и т.п.",EX
178,Спрашивает значения слов.,LA
